0.5 0.3; 30.0 30.0 30.0 300.0; 0.2 0.2 0.2 0.2
0.5 0.3; 30.02291826 30.05729565 30.05729565 299.95416348; 0.2 0.2 0.2 0.2
0.5 0.3; 30.04583652 30.11459129 30.11459129 299.90832697; 0.2 0.2 0.2 0.2
0.5 0.3; 30.06875477 30.17188694 30.17188694 299.86249045; 0.2 0.2 0.2 0.2
0.5 0.3; 30.09167303 30.22918258 30.22918258 299.81665393; 0.2 0.2 0.2 0.2
0.5 0.3; 30.11459129 30.28647823 30.28647823 299.77081742; 0.2 0.2 0.2 0.2
0.5 0.3; 30.13750955 30.34377387 30.34377387 299.7249809; 0.2 0.2 0.2 0.2
0.5 0.3; 30.16042781 30.40106952 30.40106952 299.67914439; 0.2 0.2 0.2 0.2
0.5 0.3; 30.18334607 30.45836516 30.45836516 299.63330787; 0.2 0.2 0.2 0.2
0.5 0.3; 30.20626432 30.51566081 30.51566081 299.58747135; 0.2 0.2 0.2 0.2
0.5 0.3; 30.22918258 30.57295646 30.57295646 299.54163484; 0.2 0.2 0.2 0.2
0.5 0.3; 30.25210084 30.6302521 30.6302521 299.49579832; 0.2 0.2 0.2 0.2
0.5 0.3; 30.2750191 30.68754775 30.68754775 299.4499618; 0.2 0.2 0.2 0.2
0.5 0.3; 30.29793736 30.74484339 30.74484339 299.40412529; 0.2 0.2 0.2 0.2
0.5 0.3; 30.32085561 30.80213904 30.80213904 299.35828877; 0.2 0.2 0.2 0.2
0.5 0.3; 30.34377387 30.85943468 30.85943468 299.31245225; 0.2 0.2 0.2 0.2
0.5 0.3; 30.36669213 30.91673033 30.91673033 299.26661574; 0.2 0.2 0.2 0.2
0.5 0.3; 30.38961039 30.97402597 30.97402597 299.22077922; 0.2 0.2 0.2 0.2
0.5 0.3; 30.41252865 31.03132162 31.03132162 299.1749427; 0.2 0.2 0.2 0.2
0.5 0.3; 30.43544691 31.08861727 31.08861727 299.12910619; 0.2 0.2 0.2 0.2
0.5 0.3; 30.45836516 31.14591291 31.14591291 299.08326967; 0.2 0.2 0.2 0.2
0.5 0.3; 30.48128342 31.20320856 31.20320856 299.03743316; 0.2 0.2 0.2 0.2
0.5 0.3; 30.50420168 31.2605042 31.2605042 298.99159664; 0.2 0.2 0.2 0.2
0.5 0.3; 30.52711994 31.31779985 31.31779985 298.94576012; 0.2 0.2 0.2 0.2
0.5 0.3; 30.5500382 31.37509549 31.37509549 298.89992361; 0.2 0.2 0.2 0.2
0.5 0.3; 30.57295646 31.43239114 31.43239114 298.85408709; 0.2 0.2 0.2 0.2
0.5 0.3; 30.59587471 31.48968678 31.48968678 298.80825057; 0.2 0.2 0.2 0.2
0.5 0.3; 30.61879297 31.54698243 31.54698243 298.76241406; 0.2 0.2 0.2 0.2
